iid;job;company;ssn;residence;current_location;blood_group;website;username;name;sex_x;address;mail;birthdate;age;sex_y;cp;trestbps;chol;fbs;restecg;thalach;exang;oldpeak;slope;ca;thal;target
12;Occupational hygienist;Brahmbhatt-Sani;397-28-1829;"96/79
Dyal Ganj
Jamshedpur 825220";(Decimal('-82.9510745'), Decimal('25.010167'));O-;['http://badal.com/', 'http://www.dani.info/', 'https://www.bobal.com/', 'https://gandhi.com/'];azad78;Advik Loyal;F;"107, Tank Ganj
Visakhapatnam 557380";takjayesh@gmail.com;1995-10-14;48;1;0;122;222;0;0;186;0;0.0;2;0;2;1
13;bactériologiste;Weber;2,28097E+14;"2, boulevard Chantal Gimenez
10089 Chevalier-sur-Mer";(Decimal('-86.8092825'), Decimal('18.230967'));O-;['https://www.ferreira.org/', 'http://guillet.com/', 'http://couturier.fr/', 'https://www.guillou.net/'];michelle54;Patrick de la Foucher;M;"avenue Ribeiro
12575 Grenier";mlaurent@club-internet.fr;2020-04-26;34;0;1;118;210;0;1;192;0;0.7;2;0;2;1
14;ingénieur traitement de l'image;Roy S.A.S.;1,39055E+14;"57, avenue Carlier
96098 Chartier";(Decimal('53.8917995'), Decimal('169.083874'));AB+;['https://alves.com/', 'https://www.salmon.com/', 'https://www.gilles.fr/', 'https://www.bousquet.com/'];zchauvin;Daniel de la Rossi;M;"685, rue Bigot
58975 Mendès";fernandezpenelope@club-internet.fr;1908-01-08;45;1;0;142;309;0;0;147;1;0.0;1;3;3;0
15;vendeur en animalerie;Legrand;2,53082E+14;"8, boulevard Charpentier
79923 CharpentierBourg";(Decimal('6.993740'), Decimal('-103.776380'));AB+;['http://www.carre.fr/', 'https://richard.fr/'];ariviere;Paul Lebon;M;"544, boulevard de Breton
44275 Dumont-sur-Mer";royerxavier@free.fr;1992-03-07;65;0;2;155;269;0;1;148;0;0.8;2;0;2;1
16;Charity officer;Morris, Baker and Whitaker;797-10-8482;"576 Amber Courts Apt. 333
Davidton, NV 65836";(Decimal('-22.2174825'), Decimal('177.211057'));AB-;['https://www.rodriguez.com/'];morenodonald;Samantha Cunningham;F;"7218 Adams Point Apt. 028
South Pamela, MN 24726";mthomas@hotmail.com;1955-06-14;55;0;0;180;327;0;2;117;1;3.4;1;0;2;0
17;Learning mentor;Chowdhury Inc;150-84-1672;"06/87
Sachdev Marg, Nizamabad 123676";(Decimal('-76.0686675'), Decimal('-109.379761'));O-;['http://www.shenoy.com/', 'https://www.gola-gill.com/', 'https://www.jhaveri.info/', 'http://www.zacharia.com/'];riaan45;Aradhya Khare;F;127, De, Surendranagar Dudhrej-294089;dhruv51@gmail.com;1988-06-06;59;1;1;140;221;0;1;164;1;0.0;2;0;2;1
18;Sales executive;Hale, Davis and Gibson;427-74-6221;"9124 Bobby Lights
North Sarah, IA 24203";(Decimal('32.8136895'), Decimal('-144.854257'));B+;['http://davis-delgado.org/', 'http://burns.com/', 'https://www.nolan.com/', 'https://www.mccoy-martinez.com/'];ssteele;Randall Thompson;M;"9839 Hernandez Crossroad
Heatherfurt, NM 69564";wigginsalyssa@hotmail.com;1952-01-08;60;1;2;140;185;0;0;155;0;3.0;1;0;2;0
19;Claims inspector/assessor;Herrera-Rodriguez;431-51-2466;"780 Beltran Walk Suite 933
Port Rebeccachester, AR 41613";(Decimal('68.118897'), Decimal('-60.790375'));AB-;['http://www.jimenez-norris.com/', 'https://www.hughes.com/', 'http://www.bonilla.biz/'];collinsjoseph;Mr. Robert Beck;M;"686 Robinson Trafficway Apt. 543
North Jennifermouth, MS 17333";mcconnellamy@yahoo.com;2002-11-09;56;0;1;140;294;0;0;153;0;1.3;1;0;2;1
20;Psychologist, clinical;Mendoza-Harrison;169-42-2645;"USNS Hall
FPO AE 76167";(Decimal('75.726487'), Decimal('-166.840270'));O+;['http://henderson.org/', 'https://mahoney.com/'];mirandapaul;Dustin Patton;M;"180 Hunter Pine Apt. 550
Andersonland, ID 11480";wandacastillo@yahoo.com;1926-02-15;43;1;0;120;177;0;0;120;1;2.5;1;0;3;0
21;Ergonomist;Wilson, Walker and Williams;421-97-5934;"4551 Tony Road Apt. 794
East Jennifer, VI 59115";(Decimal('47.692152'), Decimal('55.534454'));B+;['http://odom.org/', 'https://munoz-porter.info/', 'https://www.macdonald-lewis.com/'];austin54;Casey Cross;F;"1850 Smith Junctions
Port Johnborough, CO 71695";davidortiz@hotmail.com;1930-09-18;54;1;0;140;239;0;1;160;0;1.2;2;0;2;1
22;Optician, dispensing;Snyder, Warren and Garcia;159-01-9966;"55205 Kimberly Manors Apt. 360
Avilamouth, NV 03584";(Decimal('46.9613315'), Decimal('111.763771'));A+;['http://www.hunter.org/', 'http://www.morris-whitaker.net/'];weekstiffany;Joann Rangel;F;"102 Ryan Ridges Apt. 481
Blankenshipstad, ND 16355";deannablackwell@hotmail.com;1983-08-18;57;1;2;150;168;0;1;174;0;1.6;2;0;2;1
23;Tax adviser;Becker-Wilson;287-79-2457;"52210 David Locks
Lake Andreahaven, MH 36984";(Decimal('69.187624'), Decimal('-37.389409'));AB-;['http://higgins-nguyen.com/', 'http://hogan.com/'];twhite;Saint John Ramsey;M; ; ; ; ; ; ;;;;;;;;;;;
24;Information officer;Robinson, Wilson and Payne;095-87-9487;"USNV Hubbard
FPO AP 18368";(Decimal('-77.675539'), Decimal('3.093411'));AB+;['http://www.carr.org/', 'http://king.com/', 'https://wilson.org/'];staceyjohnson;Miguel Molina;M;"PSC 0685, Box 9681
APO AP 50497";michaelwalters@yahoo.com;1936-02-22;61;1;0;120;260;0;1;140;1;3.6;1;1;3;0
25;Television/film/video producer;Mandal, Ramanathan and Konda;984-09-5043;"696
Ram Street
Kharagpur-678712";(Decimal('20.887487'), Decimal('-84.067688'));AB-;['http://savant.info/', 'http://sahni.com/'];latadiya;Jiya Deol;M;"272, Dani Street
Vasai-Virar-873547";voraryan@gmail.com;1935-05-16;55;1;0;160;289;0;0;145;1;0.8;1;1;3;0
26;animateur nature nature;Chevalier SA;1,39023E+14;"boulevard de Hoareau
47573 Roche-les-Bains";(Decimal('79.5165785'), Decimal('-149.622651'));B-;['https://www.renaud.fr/', 'http://boucher.fr/', 'http://www.michel.org/'];gautiermarcel;Suzanne Hoareau;F;"20, rue Daniel Chauvet
41958 Chauvet";alexandreperret@orange.fr;1955-06-17;50;0;2;120;219;0;1;158;0;1.6;1;0;2;1
27;Horticulturist, amenity;Badami LLC;577-02-6846;H.No. 15, Bedi Road, Eluru 868304;(Decimal('42.596740'), Decimal('23.396853'));O-;['https://www.bhatti-rege.com/', 'https://wali.org/', 'https://www.ramakrishnan-borde.com/', 'http://mannan.com/'];alia79;Piya Atwal;M;"H.No. 76
Chandran
Giridih-754605";sana75@gmail.com;2014-12-16;77;1;0;125;304;0;0;162;1;0.0;2;3;2;0
28;chef de projet multimédia;Maillot;1,02062E+14;"19, rue David Antoine
86304 Bergernec";(Decimal('-73.930155'), Decimal('-122.033199'));B+;['http://www.bousquet.fr/', 'http://germain.fr/'];davidrichard;Eugène Chrétien;M;"14, rue Torres
43964 Loiseau-sur-Boyer";maryse11@noos.fr;1992-03-08;56;0;0;134;409;0;0;150;1;1.9;1;2;3;0
29;Engineer, control and instrumentation;Paul Group;458-18-5183;"1791 Perez Heights
South Joshuafort, AZ 67404";(Decimal('-55.242561'), Decimal('65.784897'));B+;['https://cook-patel.org/', 'https://www.benjamin-taylor.com/'];jennifer18;Teresa Becker;F;"3354 Lewis Forks
Lake Christopher, MH 60684";davidgreene@gmail.com;1948-05-29;44;1;0;120;169;0;1;144;1;2.8;0;0;1;0
30;Accountant, chartered certified;Taylor Group;399-89-9060;"809 Thompson Well Apt. 548
Douglasview, ME 70031";(Decimal('-88.672906'), Decimal('154.088440'));A+;['https://www.robinson-holloway.com/'];ubush;Catherine Escobar;F;"80404 Lopez Ports
Gouldmouth, PA 79348";paulagonzalez@hotmail.com;1943-12-09;53;1;0;142;226;0;0;111;1;0.0;2;0;3;1
32;greffier;Rodriguez;2,23047E+14;"10, rue Georges Dupuy
32030 Gillet";(Decimal('-31.491143'), Decimal('-23.716415'));B+;['http://delaunay.net/'];laurencedufour;ST John Ramsey;F;"26, boulevard de Cousin
83250 Descampsnec";zperon@sfr.fr;1966-02-20;56;1;1;120;236;0;1;178;0;0.8;2;0;2;1
33;Transport planner;Chaudhary PLC;713-00-9706;649, Rout Ganj, Serampore 973326;(Decimal('-58.7354125'), Decimal('96.270520'));O-;['http://sastry-dayal.com/', 'https://www.bali.com/'];vardaniya76;Ivana Chahal;M;"785, Kaul Nagar
Gudivada-543253";guhasara@hotmail.com;1998-06-29;44;1;2;120;226;0;1;169;0;0.0;2;0;2;1
34;ébéniste;Humbert;2,3912E+14;"97, boulevard Mathieu
89443 Texier";(Decimal('33.330348'), Decimal('-162.454113'));B-;['https://chauveau.com/', 'https://bigot.com/'];anais33;David Jacques;M;"rue Céline Gomez
51211 Jean";pasquieragathe@voila.fr;1992-12-18;63;0;2;135;252;0;0;172;0;0.0;2;0;2;1
35;Conference centre manager;Chand and Sons;842-38-1123;41/14, Chandra Road, Mirzapur-147867;(Decimal('-22.9446245'), Decimal('172.523891'));A-;['http://sastry-joshi.com/', 'https://www.sani.com/'];basakdarshit;Nayantara Halder;M;"45/286
Randhawa, Ambala-510419";kadeseher@gmail.com;2022-11-05;60;1;0;125;258;0;0;141;1;2.8;1;1;3;0
36;Chief Financial Officer;Devan, Deep and Wali;096-51-5732;"79
Babu Ganj, Amroha-257352";(Decimal('50.2385695'), Decimal('139.530294'));B-;['http://boase.com/', 'https://mani.biz/', 'http://bhatia.com/', 'https://www.keer.com/'];dhillonivana;Ahana  Krishnan;F;287, Bala Marg, Ballia-972856;zlanka@gmail.com;1960-05-07;71;0;0;112;149;0;1;125;0;1.6;1;0;2;1
37;Optometrist;Sheth, Krishna and Hayre;252-14-9300;21/07, Krishnamurthy Street, Patna-598658;(Decimal('-36.8668675'), Decimal('-135.869969'));A-;['http://tandon.com/', 'http://kant.com/', 'https://www.varughese.biz/', 'https://suri.com/'];usoman;Devansh Divan;F;"14, Upadhyay Circle
Anantapur 950543";jkarpe@yahoo.com;1961-09-29;52;1;0;108;233;1;1;147;0;0.1;2;3;3;1
38;Animal nutritionist;Hayer LLC;636-70-6301;"H.No. 05
Aggarwal Ganj, Bhimavaram-259317";(Decimal('80.6857575'), Decimal('-171.855145'));AB+;['http://balay.info/', 'https://barad.com/'];lsharma;Kimaya Bhatnagar;M;H.No. 14, Balakrishnan, Bhiwandi-017524;anay09@hotmail.com;1996-06-14;62;0;2;130;263;0;1;97;0;1.2;1;1;3;0
39;ingénieur électronicien électronicienne;De Oliveira;2,29087E+14;"34, chemin Girard
41586 Jean";(Decimal('-60.4413415'), Decimal('59.055277'));AB-;['http://www.leclerc.net/', 'https://www.julien.com/', 'https://www.thomas.fr/'];mahethibaut;Louise Da Silva;F;"420, chemin Lucy Laporte
25827 Morel-sur-Breton";lejeunerene@orange.fr;1943-06-05;76;0;2;140;197;0;2;116;0;1.1;1;0;2;1
40;aide-chimiste;Michaud;2,00103E+14;"59, rue Lemaire
93409 Martydan";(Decimal('0.5093675'), Decimal('-44.470577'));B+;['https://laurent.org/'];guygiraud;Lucas-Yves Marin;M;"avenue Roger
22697 Saint Gilbert";de-oliveiraalphonse@ifrance.com;1950-01-09;29;1;1;130;204;0;0;202;0;0.0;2;0;2;1
41;;;;;;;;;;;;;;;;;;;;;;;;;;;
42;Therapist, drama;De, Bhat and Som;971-44-8170;35/943, Butala Chowk, Ranchi-889076;(Decimal('-16.700486'), Decimal('135.009277'));A+;['https://www.bahl.com/', 'http://www.dhaliwal.com/'];zdyal;Alisha Gandhi;M;"09
Gill Ganj, Bhind 773015";taimurkanda@yahoo.com;1982-03-13;47;1;2;138;257;0;0;156;0;0.0;2;0;2;1
43;Petroleum engineer;Dara, Gola and Kara;983-47-6962;"H.No. 99
Kale Marg
Bikaner 209958";(Decimal('34.613778'), Decimal('176.326111'));AB+;['http://choudhry.org/', 'http://www.varughese-gaba.com/', 'http://chaudhuri.info/', 'http://deshmukh.com/'];faiyazkarnik;Kanav D’Alia;F;"37/94
Dey Circle, Hazaribagh 140998";divananiruddh@gmail.com;1920-03-25;55;1;0;160;289;0;0;145;1;0.8;1;1;3;0
44;Horticultural consultant;Chatterjee PLC;162-63-2963;"95/71
Bedi, Tirunelveli-291934";(Decimal('-30.0514425'), Decimal('98.233988'));AB-;['https://khosla.net/', 'https://srivastava.com/'];kraju;Emir Barman;F;71, Raman Circle, Sambalpur-885221;ranaalisha@yahoo.com;1936-07-10;58;1;1;125;220;0;1;144;0;0.4;1;4;3;1
45;employé de restaurant;Seguin Pereira S.A.S.;1,73012E+14;"268, boulevard Garnier
22188 Clerc";(Decimal('-54.6974155'), Decimal('-71.153423'));A-;['http://traore.fr/', 'http://www.renaud.fr/', 'http://www.michaud.fr/'];traoremargaret;Robert Chevalier-Marchand;M;"chemin de Auger
08801 Baudry-sur-Mer";dumaspatrick@club-internet.fr;2022-01-14;54;0;2;108;267;0;0;167;0;0.0;2;0;2;1
46;Engineer, building services;Gandhi, Roy and Kala;203-94-0579;"H.No. 65
Deol Nagar
Bhalswa Jahangir Pur 085028";(Decimal('-2.281338'), Decimal('76.683288'));A+;['https://www.sarkar.biz/', 'http://www.varghese.com/'];taimursaha;Romil Karan;F;19, Chana Chowk, Ulhasnagar-930297;deolveer@hotmail.com;1953-12-08;62;1;1;120;281;0;0;103;0;1.4;1;1;3;0
47;Broadcast journalist;Ferguson-Ochoa;504-57-5251;"1204 Moyer Trail Suite 164
Davidmouth, TX 30431";(Decimal('-79.2885265'), Decimal('-99.069784'));O-;['http://rogers.net/', 'http://lee.com/'];weaverjean;Kristina Duncan;F;"0966 Dustin Viaduct
Ericmouth, VA 78676";hayescaroline@yahoo.com;1918-06-18;42;1;2;130;180;0;1;150;0;0.0;2;0;2;1
48;pâtissier;Ferrand et Fils;2,15088E+14;"569, chemin Chevalier
10037 Becker-sur-Masse";(Decimal('84.647510'), Decimal('84.892510'));O-;['http://gauthier.fr/', 'http://gautier.com/', 'http://brun.com/', 'https://www.moreno.org/'];varnaud;Édouard Chauveau-Hamon;M;"46, rue Le Gall
27295 Saint Charles";margaux53@gmail.com;1967-05-15;58;1;0;128;259;0;0;130;1;3.0;1;2;3;0
49;responsable de réseau eau potable;Payet;1,93067E+14;"99, chemin de Pinto
43955 Masse";(Decimal('-62.219821'), Decimal('100.934485'));B-;['https://robin.com/', 'https://weber.org/', 'https://www.poulain.org/', 'https://www.pelletier.fr/'];capucinecourtois;Antoine Jacquot;M;"14, rue Marie Roussel
17792 Barbier";olivier06@tele2.fr;2020-07-12;39;0;2;94;199;0;1;179;0;0.0;2;0;2;1
50;scénariste;Joly;2,18121E+14;"583, rue Adrienne Joseph
39612 Sainte Philippedan";(Decimal('-89.1336495'), Decimal('48.893111'));O-;['https://hamon.com/', 'https://www.bazin.org/'];laetitiachartier;Caroline Perret-Gaudin;F;"5, rue Benard
91767 Fontaine";timothee01@gmail.com;1927-12-30;38;1;3;120;231;0;1;182;1;3.8;1;0;3;0
51;Wellsite geologist;Jackson and Sons;306-57-2876;"0585 Adams Spur
Smithburgh, LA 68314";(Decimal('-77.1111885'), Decimal('-5.479266'));B+;['https://www.ryan-ramirez.org/'];victorwise;Hector Gonzalez;M;"330 Gardner Creek Apt. 861
Stephaniemouth, RI 90836";charles90@gmail.com;2017-05-08;54;1;0;122;286;0;0;116;1;3.2;1;2;2;0
52;Analytical chemist;Subramanian-Khare;998-78-3315;"64/08, Khalsa Chowk
Nagpur-511081";(Decimal('-4.1773825'), Decimal('88.619476'));O-;['https://www.devi.biz/', 'http://thaman-krishnan.com/', 'http://www.sagar.com/'];yuvraj-date;Oorja Kala;M;"H.No. 965, Mani Road
Nandyal 092894";devielakshi@hotmail.com;1921-09-20;63;1;0;130;330;1;0;132;1;1.8;2;3;3;0
53;Professor Emeritus;Wali LLC;842-67-8097;"08/54
Chand Marg
Mehsana 208862";(Decimal('89.1258825'), Decimal('-130.379938'));O-;['http://bora-comar.net/', 'http://www.warrior.info/'];kartik74;Diya Devi;F;"50/443, Seshadri Nagar
Nashik-829463";miraya08@yahoo.com;1919-07-09;35;1;0;126;282;0;0;156;1;0.0;2;0;3;0
54;Administrator, sports;Zacharia-Bhatia;020-56-1018;"H.No. 29, Butala Circle
Srikakulam 325032";(Decimal('-63.9641785'), Decimal('138.152520'));A-;['http://madan-sidhu.com/', 'http://badal.com/', 'http://www.dua-sathe.com/'];atoor;Zaina Tank;F;93/94, Uppal Ganj, Jodhpur-002987;dhingrashray@gmail.com;1963-11-19;48;1;0;130;256;1;0;150;1;0.0;2;2;3;0
55;designer d'interaction;Fontaine Renard S.A.;2,22058E+14;"88, chemin de Arnaud
24684 CosteVille";(Decimal('88.903784'), Decimal('-144.223335'));A-;['https://blanchard.fr/'];elodiepires;Nath Allain;F;"38, rue Alex Perez
00543 Sainte François";oceane68@live.com;2007-09-25;51;1;2;125;245;1;0;166;0;2.4;1;0;2;1
56;Designer, furniture;Swaminathan, Mahajan and Krishna;545-96-9975;"H.No. 710
Barad Path
Rourkela 683592";(Decimal('27.7533235'), Decimal('-88.643122'));A-;['http://www.krish.org/', 'http://borra.info/', 'https://chaudhary.com/'];samiha98;Reyansh Saraf;M;"H.No. 581
Aurora, Gudivada 216501";tejas73@gmail.com;2006-05-20;54;1;2;120;258;0;0;147;0;0.4;1;0;3;1
57;International aid/development worker;Johnson, Gomez and Hudson;764-15-9324;"PSC 2941, Box 9197
APO AA 50979";(Decimal('-44.019932'), Decimal('-61.678298'));B-;['http://www.camacho.com/'];tiffanyvelazquez;Ann Nicholson;F;"89867 Sylvia Parkway Suite 371
South Andrewfort, VI 30053";laurenduarte@gmail.com;2006-02-20;59;1;3;170;288;0;0;159;0;0.2;1;0;3;0
58;Therapeutic radiographer;Young Ltd;295-55-7611;"20456 Lauren Grove Apt. 574
Travisburgh, MI 46917";(Decimal('79.331689'), Decimal('-20.910988'));A+;['https://www.roberts.com/'];fodonnell;Rebecca White;F;"1232 Miller Mill
East Alicia, NH 91556";brianna39@hotmail.com;1913-07-23;57;1;0;130;131;0;1;115;1;1.2;1;1;3;0
59;ingénieur textile;Bonneau;2,47035E+14;"6, rue Gabrielle Potier
12457 Gomesnec";(Decimal('-59.5888865'), Decimal('59.489869'));A+;['http://gerard.com/', 'http://www.delorme.fr/', 'http://www.potier.com/', 'http://petit.net/'];jgauthier;Sabine Lebon;F;"137, chemin Chauvin
00568 ReyVille";amelie46@bouygtel.fr;1926-12-08;70;1;0;145;174;0;1;125;1;2.6;0;0;3;0
60;Set designer;Chan, Simmons and Blanchard;325-62-9858;"954 Sarah Path Apt. 760
Jamesberg, PR 40048";(Decimal('55.2468335'), Decimal('-157.728365'));A-;['http://www.ramos-lopez.com/', 'http://www.brown.net/', 'https://www.french.info/'];matthew43;Jennifer Wilson;F;"981 Lane Run Suite 915
Sarahmouth, CT 56594";vparker@hotmail.com;1996-01-23;56;1;1;130;221;0;0;163;0;0.0;2;0;3;1
61;illustrateur;Pichon;2,63086E+14;"85, rue de Lebreton
22431 Jean-sur-Ferreira";(Decimal('75.9813725'), Decimal('8.095088'));B+;['https://www.coulon.fr/', 'https://fleury.com/'];egaillard;Adèle Michel;F;"8, avenue Michel Philippe
61943 Fernandes";goncalvesjean@tele2.fr;1944-01-04;67;1;0;125;254;1;1;163;0;0.2;1;2;3;0
62;Scientist, forensic;Wilson-Santiago;430-98-5287;"23330 Williams Estate
South Benjaminshire, MT 25185";(Decimal('74.3928275'), Decimal('-85.044585'));O+;['https://osborne.org/', 'https://campbell-miller.org/', 'http://wise.com/', 'http://www.price.biz/'];ronnie18;Robert Ramos;M;"558 Smith Bypass Suite 479
North Angela, NY 99109";barbarafarley@yahoo.com;1911-05-12;55;1;0;132;353;0;1;132;1;1.2;1;1;3;0
63;ingénieur qualité moteur;Grondin;2,93126E+14;"5, rue Élise Renaud
23002 Barbier";(Decimal('52.0379085'), Decimal('-95.600642'));AB-;['http://vasseur.org/', 'http://fontaine.com/'];thomasclaude;Arthur Hoarau;M;"5, rue Daniel
34585 Cousinboeuf";laurent74@voila.fr;1971-11-13;60;0;3;150;240;0;1;171;0;0.9;2;0;2;1
64;chef d'exploitation d'usine d'incinération;Camus Royer S.A.;1,53027E+14;"77, rue Gonzalez
08686 Saint Matthieudan";(Decimal('72.5704875'), Decimal('-74.051817'));O-;['https://ramos.com/', 'https://www.mathieu.fr/', 'http://www.launay.fr/', 'http://lemaire.fr/'];mbailly;Adrienne Humbert du Weiss;F;"762, rue Sanchez
43083 Sainte Agnès";zteixeira@voila.fr;1991-01-17;59;1;0;135;234;0;1;161;0;0.5;1;0;3;1
65;Housing manager/officer;Datta-Rama;085-24-4065;01/75, Mall Path, Rohtak-286884;(Decimal('-2.4842155'), Decimal('-43.908465'));B+;['https://borra.info/'];prau;Yakshit Sarin;F;"H.No. 116
Dayal Nagar
Madanapalle-988519";varkeyjayan@gmail.com;2011-10-13;57;1;1;154;232;0;0;164;0;0.0;2;1;2;0
66;Operations geologist;Smith, Simpson and King;810-65-2489;"380 Cody Road Apt. 184
Stevenburgh, TX 97824";(Decimal('-11.738100'), Decimal('-155.543958'));B-;['https://www.manning.com/', 'http://www.scott-harvey.com/', 'http://duarte-brewer.com/', 'https://martin.com/'];victoria22;Willie Oliver;M;"553 Kari Loaf
Janiceton, MT 30941";vickihenry@gmail.com;1952-10-09;63;0;0;150;407;0;0;154;0;4.0;1;3;3;0
67;Engineering geologist;Bell and Sons;012-92-2493;"PSC 7402, Box 8674
APO AA 53814";(Decimal('-53.387821'), Decimal('23.306870'));O-;['https://www.smith.info/', 'https://www.long.net/', 'https://johns-moore.com/'];hansonlarry;Kathryn Sandoval;F;"3801 Andrea Union Suite 665
Byrdville, FL 90839";carl18@gmail.com;1908-06-11;51;1;0;140;261;0;0;186;1;0.0;2;0;2;1
68;Dramatherapist;Reed-Shannon;246-48-1005;"60747 Jamie Vista
East William, GA 61282";(Decimal('-7.1042815'), Decimal('-74.152863'));B+;['http://www.ferguson-smith.com/', 'http://www.nelson.org/'];brandon63;Barbara Smith;F;"322 Jeremy Ville Apt. 145
Brownberg, TN 26862";upeterson@yahoo.com;1934-12-06;55;1;0;140;217;0;1;111;1;5.6;0;0;3;0
69;Public librarian;Bala-Rout;467-81-4259;"52
Dey Street
Hindupur 985989";(Decimal('64.157882'), Decimal('119.517656'));A-;['http://thaker.com/', 'https://www.kar.info/'];grewalanay;Gatik Subramanian;M;"00
Krishnamurthy
Ajmer-783354";prisha61@gmail.com;1969-02-12;57;1;2;128;229;0;0;150;0;0.4;1;1;3;0
70;femme de chambre;Dupuis Blin et Fils;2,15099E+14;"chemin Monique Torres
34633 Girard-sur-Millet";(Decimal('-21.7039075'), Decimal('165.901916'));O-;['http://www.bernard.com/', 'http://hoareau.org/', 'https://www.ferreira.fr/', 'https://carpentier.fr/'];ypascal;Martin Charpentier;M;"89, rue Eugène Pottier
91708 Antoine";bouchetremy@ifrance.com;2021-05-15;44;1;2;140;235;0;0;180;0;0.0;2;0;2;1
